Step 0 | Loss: 107.0000 | Grad Norm: 0.00
Step 1 | Loss: 136.8750 | Grad Norm: 0.00
Step 2 | Loss: 146.0000 | Grad Norm: 0.00
Step 3 | Loss: 89.3125 | Grad Norm: 0.00
Step 4 | Loss: 82.5625 | Grad Norm: 0.00
Step 5 | Loss: 50.8438 | Grad Norm: 0.00
Step 6 | Loss: 65.5000 | Grad Norm: 0.00
Step 7 | Loss: 41.6250 | Grad Norm: 0.00
Step 8 | Loss: 36.0938 | Grad Norm: 0.00
Step 9 | Loss: 25.1094 | Grad Norm: 0.00
Step 10 | Loss: 22.0000 | Grad Norm: 0.00
Step 11 | Loss: 19.0469 | Grad Norm: 0.00
Step 12 | Loss: 19.3125 | Grad Norm: 0.00
Step 13 | Loss: 20.7188 | Grad Norm: 0.00
Step 14 | Loss: 21.6250 | Grad Norm: 0.00
Step 15 | Loss: 28.4062 | Grad Norm: 0.00
Step 16 | Loss: 15.5078 | Grad Norm: 0.00
Step 17 | Loss: 15.1016 | Grad Norm: 0.00
Step 18 | Loss: 18.3906 | Grad Norm: 0.00
Step 19 | Loss: 15.2578 | Grad Norm: 0.00
Step 20 | Loss: 14.4297 | Grad Norm: 0.00
Step 21 | Loss: 15.6094 | Grad Norm: 0.00
Step 22 | Loss: 15.8203 | Grad Norm: 0.00
Step 23 | Loss: 22.1094 | Grad Norm: 0.00
Step 24 | Loss: 19.0781 | Grad Norm: 0.00
Step 25 | Loss: 14.5391 | Grad Norm: 0.00
Step 26 | Loss: 20.5625 | Grad Norm: 0.00
Step 27 | Loss: 12.7578 | Grad Norm: 0.00
Step 28 | Loss: 12.1641 | Grad Norm: 0.00
Step 29 | Loss: 18.7812 | Grad Norm: 0.00
Step 30 | Loss: 13.9062 | Grad Norm: 0.00
Step 31 | Loss: 11.2031 | Grad Norm: 0.00
Step 32 | Loss: 13.5859 | Grad Norm: 0.00
Step 33 | Loss: 12.8594 | Grad Norm: 0.00
Step 34 | Loss: 11.0469 | Grad Norm: 0.00
Step 35 | Loss: 14.4219 | Grad Norm: 0.00
Step 36 | Loss: 11.3438 | Grad Norm: 0.00
Step 37 | Loss: 10.8359 | Grad Norm: 0.00
Step 38 | Loss: 15.0312 | Grad Norm: 0.00
Step 39 | Loss: 9.8125 | Grad Norm: 0.00
Step 40 | Loss: 14.6172 | Grad Norm: 0.00
Step 41 | Loss: 10.2109 | Grad Norm: 0.00
Step 42 | Loss: 14.3906 | Grad Norm: 0.00
Step 43 | Loss: 11.0000 | Grad Norm: 0.00
Step 44 | Loss: 14.0625 | Grad Norm: 0.00
Step 45 | Loss: 8.5703 | Grad Norm: 0.00
Step 46 | Loss: 8.6875 | Grad Norm: 0.00
Step 47 | Loss: 9.2344 | Grad Norm: 0.00
Step 48 | Loss: 11.8359 | Grad Norm: 0.00
Step 49 | Loss: 9.2578 | Grad Norm: 0.00
